nom_producte,tipus_subproducte,preu_producte,url_producte,descripcio_producte
TRANARÖ,"
        Taburete/mesa auxiliar int/ext,
          ",15€,https://www.ikea.com/es/es/p/tranaro-taburete-mesa-auxiliar-int-ext-rojo-10411421/,"
          Utiliza la solución multiusos TRANARÖ como taburete, mesa auxiliar o mesilla de noche, o pon 2 juntas para hacer una mesa de centro. Es muy fácil de llevar de un sitio a otro y da un toque de color a las los espacios, tanto interiores como exteriores.
          "
TÄNKVÄRD,"
        Banco",119€,https://www.ikea.com/es/es/p/tankvard-banco-30429383/,
BUSKBO,"
        Sillón",129€,https://www.ikea.com/es/es/p/buskbo-sillon-ratan-70434311/,
FANBYN,"
        Silla",59€,https://www.ikea.com/es/es/p/fanbyn-silla-gris-s59284638/,
ULRIKSBERG,"
        Sillón",99€,https://www.ikea.com/es/es/p/ulriksberg-sillon-ratan-antracita-90434310/,
NORRÅKER / RÖNNINGE,"
        Mesa y dos sillas,
          ",237€,https://www.ikea.com/es/es/p/norraker-ronninge-mesa-dos-sillas-abedul-verde-s39297255/,
NORRÅKER / NORRARYD,"
        Mesa de bar+2 taburetes bar,
          ",327€,https://www.ikea.com/es/es/p/norraker-norraryd-mesa-bar-2-taburetes-bar-abedul-negro-s89297272/,
BEKVÄM,"
        Taburete escalón,
          ","12,99€",https://www.ikea.com/es/es/p/bekvam-taburete-escalon-haya-60178887/,"
          Resulta muy útil para guardar cosas en zonas altas. Este taburete escalón, además de ser muy bonito, va muy bien para llegar a la parte superior de los armarios.
          "
NORDMYRA,"
        Silla","29,99€",https://www.ikea.com/es/es/p/nordmyra-silla-blanco-abedul-60351311/,
RENBERGET,"
        Silla giratoria","49,99€",https://www.ikea.com/es/es/p/renberget-silla-giratoria-bomstad-negro-20339420/,"
          Al ser cómoda y ligera, no te costará nada moverla de sitio. Las ruedas cuentan con un mecanismo de frenado que mantiene la silla en su sitio cuando te levantas y se desactiva al sentarte.
          "
DAGOTTO,"
        Reposapiés","14,99€",https://www.ikea.com/es/es/p/dagotto-reposapies-negro-40240989/,
BEKVÄM,"
        Taburete escalón,
          ","19,99€",https://www.ikea.com/es/es/p/bekvam-taburete-escalon-blanco-40178888/,"
          Resulta muy útil para guardar cosas en zonas altas. Este taburete escalón, además de ser muy bonito, va muy bien para llegar a la parte superior de los armarios.
          "
TEODORES,"
        Silla",20€,https://www.ikea.com/es/es/p/teodores-silla-blanco-90350937/,"
          Una silla cómoda, resistente, ligera y apilable. Combina fácilmente con mesas y sillas de diferentes estilos, y encaja perfectamente en el comedor, en la entrada o el dormitorio.
          "
GUNDE,"
        Silla plegable",7€,https://www.ikea.com/es/es/p/gunde-silla-plegable-blanco-60217799/,
AGEN,"
        Silla","39,99€",https://www.ikea.com/es/es/p/agen-silla-ratan-bambu-50058376/,
